msg_id,user_id,message
394970152808493056,1000596187,"*chewing on my stem* @SOMEONE ""gimme some of that."" Me: ""fuck off."" Lacey: *weird ass voice* ""I'll do anything. """
651482888614084608,97950607,I hate it when the bathroom has one good hand dryer and one bad hand dryer cause I always get stuck with the bad one
623365417369792512,1960920774,@SOMEONE  love and miss you more 
704169270012469248,74538066,At Last. Well Done Sir. Well Done. #Leo #TheOscars2016 @SOMEONE #AcademyAwards http://LINK
608449800409894912,394492135,@SOMEONE Can we just get drunk on snap chat together like we use to?
667048888294055936,1244608176,@SOMEONE Refugees who r women can kill more of us with suicide vest!
422139762083119104,307736137,@SOMEONE A unreliable barber will fuck up your whole weekend. RT
705917645770661889,576616697,@SOMEONE boutta go off at #Sayaw2016 tomorrow. Can't fucking wait to see what they been working on.
422557982300577792,770634931,I really fucks w| nobody basically 
435620333404426241,915896162,Damn yo. I miss you so fucking much Vic. I love you brother
502653499289915393,805008841,@SOMEONE hahah fuck u. My manager said that butch
363317234300493825,218767264,"#Sales #Job in #EastSyracuse , NY: Hospital Account Liaison - East Syracuse, NY at Apria Healthcare http://LINK"
623636701123100672,528834117,how can you love someone so much but hate them so much at the same time? 
633081152123703296,439438020,I hate sitting home and doing nothing
705854988665409536,48354077,So I guess @SOMEONE doesn't care about women's equality. They're happy to peddle in sexist tropes. A big fuck you to half their market
465219566046834689,403664314,Now Andy wants to take me and my boyfriend out tonight...
706631957199917060,2917004893,@SOMEONE lmao I hate you  but bet definitely!
644533556367261696,466795916,@SOMEONE if you make her fat I'll kill you
385793564472795136,408979881,@SOMEONE @SOMEONE miss you too!
635991831222878208,2605037369,When you only talk too one person and they aint responded since like 12 
664523845529788416,2431227858,"@SOMEONE Everytime somebody ask me about his ass , I act like I don't who that is  . He so fucking embarrassing dog !"
704921013289664512,2207512867,I feel like i got to much to lose to i dont pay attention to the Fuck shit Im on defense Feel me
568610140636745728,750418266,Wearing your boyfriends hoodie to bed is the greatest thing ever
610532497735204865,2289068064,"She said she can be my house wife and keep my house clean, I said shut the fuck up put this dick back in yo mouth please "
413160406488608768,448426605,@SOMEONE it's so fucked up. my moms always said it should be rated pg13
611464971285872640,2941674275,The shit I fucking deal with at 5am.
459411959663034368,723193956,Just got yelled at by the mail man for ordering online too often because he hates having to carry my packages every day 
646180662530166784,624862931,Lmfao can somebody explain how she just layin there takin them bitches like its nothing http://LINK
666135312779841536,621987308,"@SOMEONE Ily ahah you're killin me girl, let's go"
382684912597602304,469466665,"""I'M NOT A FUCKING TRICYCLE AARON!"" @SOMEONE"
660874454772281345,3958251527,@SOMEONE you can get them yourself fuck boys 
704866990880587777,489816127,Or we could take matters into our own hands and just kill a person http://LINK
478192861213892608,236600541,@SOMEONE I won't kill you if you cash me out lol
457159675948322817,275265731,No one buy cookie dough coffee from DD cause it's fucking disgusting
505234586465763328,2203533196,@SOMEONE nah hell nah LMFAOO .. I'm not fuckinn with clear liquor. I just can't.
439425182042951680,846491263,"i hate my friends, but i will sadly be sad somehow when they die, i hope they die tomorrow"
408510684721610752,30992254,Fatima's writing a paper and I'm just chillin in her bed with no shirt on like Waddup it's 3 in the mornin what about it
706579186610249728,206820822,Lmaoooo Quinta a fucking fool http://LINK
704660917280239616,174026274,I always fuck up on my snaps
509553125813141505,328058897,"And ill help him ""@SOMEONE Never tweet about killing yourself because I will talk shit to you until you actually do it"""
667823208624590848,2998361220,"Its Friday , TURN UP! Where The hoes .? Who girlfriend tryna get fucked tonight? Cause imma take em home  Bitch!"
705904992826335233,1129702753,"I want this, fuck waxing http://LINK"
507764154468663297,2564197456,@SOMEONE is my best fucking friend
706170715482034176,12670632,"By the end of the last season, I was nervous for the show. Especially the way it ended"
706662000143835136,590878707,Today was a good day. Photo by: @SOMEONE #houseofmoruka #bemoruka #bloggerbabes http://LINK
705097543047229440,502340350,"Interested in a #Healthcare #job near #JerseyCity, NJ? This could be a great fit: http://LINK"
704834925489475584,308019790,"""Dude. We are so fucked.""- a bro who, even though his stereotype is that he's an idiot (and is), he still knows how bad it is #SuperTuesday"
457281087467565056,502133286,"""@SOMEONE @SOMEONE practicing my Derek zoolander poses "" ur a fuck lamooo"
655991652327256064,921478668,today consisted of one major Fuck Up and many Little Tiny Achievements. i think it's probably best to focus on the latter
704887838211489792,308789438,@SOMEONE @SOMEONE Yeah we're fucking aware of each other
612249382205808640,1676682367,My momma talking bout fuck them
367797046465814528,172936629,@SOMEONE ill be home tomorrow were throwing a Megan's gone party 
517383222851018753,756636288,@SOMEONE dude you could prank call pretending to be a health inspector and say there have been traces of Ebola and to close the college
661373839063031808,381791736,"@SOMEONE relies way too much on his physical ability when he throws man, it's so frustrating watching it"
415596344183492609,840888300,Furthest thing from perfect just like every that I know.
642884376255143936,18885260,@SOMEONE wishing you good health and happiness 
636184091931635712,432227859,@SOMEONE it makes me ill how transphobic and hateful cis people can be. v.v All we want is to be ourselves. Is that too much to ask?
476325152285016064,622473959,"If people don't hate, then it won't be right"
704184460489728001,2191536703,Shoutout to my girlfriend for discussing Dem Franchize Boyz and Crime Mob with me for 1.5 hours
634352070825525248,2157735834,People need to stay the fuck of the phone when they drive
537038679412576256,1594678807,Abject terror and fear of failure are my pre workout.  Apparently. #killeditatthegym #examtomorrow
436165306541563906,385661712,"*this is your period talking* Yeeeesss u neeeed thooooose sourrrr paaaatch kidssss @ 10 am, or you might Kill someone"
515744550900748288,52865666,@SOMEONE omg I miss you  @SOMEONE http://LINK
425332755233120256,371851034,Let no man pull you low enough to hate him
614441151819575297,1334966845,@SOMEONE I need your support to make a #GreenBusStop in #Detroit. $1 will help us reach our goal! http://LINK
375959758458880000,31301332,"Up and at em breakfast and conf call, then killin it all day. Bless yourselves!"
704326665615360000,1054058731,Remember when we all used to joke about how Leo would never win an Oscar? What a throwback.
625061363526836224,621593850,I hate when I'm scrolling and I accident my fav something
706326723130953728,545098699,iPhone fucked up and my mac book actin fried.. Gonna be a long day tomar in the Apple Store
454763132649353216,570436235,Why does Brian like killing me? I don't understand
432955180355969024,589418853,Why can't I just go on a cruise 
