msg_id,user_id,message
499235996764884992,26169303,"Conan O'Brien found out about Robin Williams at the end of taping his show, and handled it perfectly. http://t.co/McwRdRFhIc via @happyplace"
497176262121881600,339496478,"Stem cell scientist found dead in apparent suicide http://t.co/5mHOFp6O4O

It's tragedy! I guess he couldn't take the criticism any more😔"
499325631298281473,47178193,mysoulisinorbit: jemmasimmns: please don’t make people with depression feel guilty for their lack of... http://t.co/G4u39Nix25
476611955377963009,1929604704,Did you know? Suicide by jumping makes you feel pain not more than an injection.
439150457358123008,33238876,"Suicide does not end the chances of life getting worse, Suicide eliminates the possibility of it ever getting better. http://t.co/KbrVAcV3LG"
523901509302378497,1231712240,"“@weirdo_vv: ""What does depression feel like?"" http://t.co/bHnCHy0vrc”"
497676226639986688,19540412,But my depression would rather persuade me to stay in bed and feel sorry for myself. Cunt.
543064093696204801,258497572,"3ndi3 u for commit suicide ""@OSBaeta: ""@mr_jabben: We all just want to feel loved""
What if loved doesn't want to feel you?"""
505111878776131586,36817721,No one should ever feel like suicide is their only way out. If your ever feeling this way please find an alternative to be your escape.
446837044765921280,635156221,@danieru1331 I'm mad because you made fun of me and aces self harm and suicide thoughts you nasty ass
515881179317567488,2531328219,"I will never understand the minds of those who make suicide/selfharm jokes, and can just go on with their day like everything is fine."
510473453452140544,494159106,OMG I just attempted suicide using @CocaCola insecticide/battery cleaner/diabetes stimulant.  I dont want to die.
443323339751559168,625697849,"Bullying among kids tied to suicidal thoughts, suicide attempts - Yahoo News http://t.co/DFCDsvUyxt #google #health"
560658749753270273,287314062,"@PaigeVBA  I find that oppression is sometimes confused with depression. been there, done tthat. Live by your standards, not others ."
498977789857763328,1917249228,"""@ActorTrivia: Actor Robin Williams has died at age 63 http://t.co/2ONCkloDrZ""
Very sad news. Our thoughts and prayers go out to his family."
507152710613729281,158105246,On the verge of the suicide of thoughts.
511403684178038784,1677563209,How to help people having suicidal thoughts or depression http://t.co/vAJpexipwu   #SuicidePreventionAwarenessMonth http://t.co/O71j4d7FYf
488711676649148416,720338350,"Stuck in a mental vortex of stress, disappointment, and depression. Feels so good."
472244411372691456,244840833,@PeteWiddles Depression hurts man. It feels terrible and nobody should have to deal with it constantly.
447146783442214912,1947590034,"I usually think that prople are too weak to commit suicide but when I hear that they did it, I feel weak to believe it."
550128036411346944,864347654,"Tw suicide mention
You know how some pills say may cause suicidal thoughts in young adults?
They ain't foolin'
(im not rn im just thinking)"
546253356998877184,2916991487,@Usher I suffer from depression and I'm suicidal and listening to your music makes me feel better.
548827991347036161,95433284,Pressures of Xmas gotten to you? Let's Talk Depression and Anxiety Services can support you http://t.co/zCOPEEhUv4 http://t.co/jE4ot3HNrp
472452997570506752,371236177,@TheKnowledge: J.K. Rowling once contemplated suicide. It was this feeling which inspired soul-sucking Dementors in the Harry Potter series.
507740301318836224,2489480191,"Just like other illnesses, depression can be treated so that people can live happy, active lives.-Tom Bosley"
564613727215812609,284305293,"“@JovonCorrea: Suicide thoughts all in my brain, I wanna kill myself but how is that gonna cure the pain”"
516466014574632961,2241529628,Sometimes I feel like talking to other people who suffer with severe depression would help. I feel so alone. #depressionhurts #depression
463512276570365954,252753598,"Toronto man pushes limits of Canada's assisted suicide debate: A Toronto man’s decision to end his life, simply because he felt it wa..."
499137905286471681,2662300416,@loralski well said. I've suffered depression most my adult life. It's a constant battle. When you feel like you're getting better 1/3
501895331429482498,479458312,@GoaIdado I'm out my depression now. I feel I can contribute
498977007925858304,608709802,I just hope if anyone ever has suicidal thoughts that they would open up to someone about it. Suicide is never the answer.
555174033520885760,598398993,"parody 5sos used to be the reasons why I kept living now that I'm over depression, It's sad but I feel like I don't need them anymore.😔😔"
533464420832538624,948094740,How To Beat Depression And Feel Happy Once Again - http://t.co/srqJcos7yw
498212240462315522,1849786118,post concert depression is probably one of the hardest things to go through and theres this aching feeling that sticks with you for a month
488449060094107648,342615491,Hey @NiallOfficial I love u more than anything u have litterally saved me from cutting and suicide thoughts. U should follow me 💘
500425258302578689,2525371543,"Just like other illnesses, depression can be treated so that people can live happy, active lives.-Tom Bosley"
444021107663048705,1662819001,"one more day! If you don't have your #free copy yet, grab it now.
http://t.co/YAXAMeoXT5
#kindle #fantasy #humor #depression #5star"
543555918408212480,253009353,Cross the line if you want to commit suicide to teach everyone around you a lesson and make them feel guilty for it.
