_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,relevant,message,msg_id,relevant_gold,user_id
946827640,5/5/2016 03:24:51,1976490951,5/5/2016 03:24:15,false,clixsense,0.6563,34827464,VEN,15,Ocumare Del Tuy,190.36.222.220,supportive_messages_or_helpful_information_to_prevent_suicide,"Suicide doesn't end the chances of getting worse, it eliminates the possibility of getting better. #SuicideQuotes http://LINK",480806951459508225,,66394878
946827640,5/5/2016 03:24:55,1976491012,5/5/2016 03:24:15,false,tremorgames,0.7029,37087253,USA,FL,Oviedo,68.205.120.203,supportive_messages_or_helpful_information_to_prevent_suicide,"Suicide doesn't end the chances of getting worse, it eliminates the possibility of getting better. #SuicideQuotes http://LINK",480806951459508225,,66394878
946827640,5/5/2016 03:24:58,1976491040,5/5/2016 03:24:18,false,tremorgames,0.6533,16870076,ARG,01,Rafael Calzada,190.51.181.198,supportive_messages_or_helpful_information_to_prevent_suicide,"Suicide doesn't end the chances of getting worse, it eliminates the possibility of getting better. #SuicideQuotes http://LINK",480806951459508225,,66394878
946827640,5/5/2016 03:25:01,1976491088,5/5/2016 03:24:15,false,instagc,0.4889,13581319,USA,IL,Waltonville,208.70.36.12,other,"Suicide doesn't end the chances of getting worse, it eliminates the possibility of getting better. #SuicideQuotes http://LINK",480806951459508225,,66394878
946827640,5/5/2016 03:25:18,1976491191,5/5/2016 03:24:14,false,elite,0.62,27010801,IND,02,Hyderabad,49.206.214.239,supportive_messages_or_helpful_information_to_prevent_suicide,"Suicide doesn't end the chances of getting worse, it eliminates the possibility of getting better. #SuicideQuotes http://LINK",480806951459508225,,66394878
946827641,5/5/2016 03:25:24,1976491246,5/5/2016 03:24:59,false,tremorgames,0.6533,16870076,ARG,01,Rafael Calzada,190.51.181.198,suicidal_thoughts,"when I get into a mood where im on kill mode , you better have some shit to shut me down or your ass gon be on suicide watch when I'm done!",546882938017968128,,50396482
946827641,5/5/2016 03:25:25,1976491257,5/5/2016 03:24:56,false,tremorgames,0.7029,37087253,USA,FL,Oviedo,68.205.120.203,other,"when I get into a mood where im on kill mode , you better have some shit to shut me down or your ass gon be on suicide watch when I'm done!",546882938017968128,,50396482
946827641,5/5/2016 03:25:42,1976491392,5/5/2016 03:25:02,false,instagc,0.4889,13581319,USA,IL,Waltonville,208.70.36.12,other,"when I get into a mood where im on kill mode , you better have some shit to shut me down or your ass gon be on suicide watch when I'm done!",546882938017968128,,50396482
946827641,5/5/2016 03:26:13,1976491626,5/5/2016 03:25:07,false,clixsense,0.76,19420291,BRA,15,Juiz De Fora,201.50.228.212,suicidal_thoughts,"when I get into a mood where im on kill mode , you better have some shit to shut me down or your ass gon be on suicide watch when I'm done!",546882938017968128,,50396482
946827641,5/5/2016 03:56:54,1976506166,5/5/2016 03:55:06,false,elite,0.4643,31727423,VNM,44,Hanoi,116.108.220.222,other,"when I get into a mood where im on kill mode , you better have some shit to shut me down or your ass gon be on suicide watch when I'm done!",546882938017968128,,50396482
